"Navigate","Open Task","Ctrl+F12","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"gazonk.del","Delete Char","Ctrl+D","In Console View"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Text Editing","Kbd Macro Call","Ctrl+X E","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"File","Print","Alt+F9","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Delete Blank Lines","Ctrl+X Ctrl+O","Editing Text"
"Text Editing","Execute Extended Command","Alt+X","Editing Text"
"Text Editing","Forward Paragraph","Shift+Alt+]","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing in Structured Text Editors"
"Text Editing","Down List","Ctrl+Alt+Down","Editing Text"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Text Editing","Kbd Macro Start","F3","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Text Start","Esc <","Editing Text"
"Text Editing","Insert Register","Ctrl+X R I","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Window","Next Editor","Ctrl+Alt+L","In Windows"
"Text Editing","Capitalize","Alt+C","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Mark Word","Shift+Alt+2","Editing Text"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Text Editing","Pop Tag Mark","Shift+Alt+8","Editing Text"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Text Editing","Forward Paragraph","Ctrl+Down","Editing Text"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Text Editing","Regexp I-Search backward","Ctrl+Alt+R","Editing Text"
"Text Editing","Next Word","Alt+F","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Source","Toggle Comment","Alt+;","Editing Java Source"
"Text Editing","Page Up","Alt+V","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Forward Word","Alt+F","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Transpose Words","Alt+T","Editing Text"
"Edit","Forward Sexp","Alt+Right","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Run to Line","Ctrl+C Ctrl+U","Debugging"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Text Editing","Kbd Macro Bind To Key","Ctrl+X Ctrl+K B","Editing Text"
"Text Editing","Text Start","Alt+<","Editing Text"
"Text Editing","Backward Word","Ctrl+Left","Editing Text"
"Navigate","Open Declaration","Alt+.","Editing Java Source"
"Text Editing","Begin Line","Ctrl+A","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Text Editing","Transpose Characters","Ctrl+T","Editing Text"
"Text Editing","Describe Command","Ctrl+H D","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Forward Word","Shift+Alt+F","Editing Text"
"Text Editing","Rotate Yank Pointer","Ctrl+Alt+Y","Editing Text"
"Text Editing","Scroll Down","Esc V","Editing Text"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Backward Character","Ctrl+B","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Edit","Redo","F10","In Windows"
"Text Editing","Scroll Down","Alt+V","Editing Text"
"Text Editing","End Line","End","Editing Text"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"Navigate","Open Declaration","Ctrl+C Ctrl+V Ctrl+Y","Editing Java Source"
"Text Editing","Universal Argument","Ctrl+8","Editing Text"
"Text Editing","Query Replace","Alt+%","Editing Text"
"Edit","Find and Replace","Esc R","In Windows"
"Text Editing","Mark Paragraph","Alt+H","Editing Text"
